Num_Features,Model,Train_Time_s,Dataset,Evaluation_Type,Accuracy,F1_Score
50,LightGBM,10.09,CICIDS-2018 (Within),Binary,0.9798,0.989
50,LightGBM,10.09,CICIDS-2017 (Cross),Multiclass,0.2408,0.1135
50,LightGBM,10.09,CICIDS-2017 (Cross),Binary,0.4152,0.578
50,LightGBM,10.09,LycoS-2018 (Cross),Multiclass,0.5853,0.6496
50,LightGBM,10.09,LycoS-2018 (Cross),Binary,0.6292,0.72
50,MLP (PyTorch),31.06,CICIDS-2018 (Within),Multiclass,0.9404,0.9404
50,MLP (PyTorch),31.06,CICIDS-2018 (Within),Binary,0.9705,0.984
50,MLP (PyTorch),31.06,CICIDS-2017 (Cross),Multiclass,0.6557,0.6535
50,MLP (PyTorch),31.06,CICIDS-2017 (Cross),Binary,0.7708,0.7595
50,MLP (PyTorch),31.06,LycoS-2018 (Cross),Multiclass,0.2832,0.2303
50,MLP (PyTorch),31.06,LycoS-2018 (Cross),Binary,0.3051,0.1206
60,Logistic Regression,24.35,CICIDS-2018 (Within),Multiclass,0.9277,0.9267
60,Logistic Regression,24.35,CICIDS-2018 (Within),Binary,0.9646,0.9808
60,Logistic Regression,24.35,CICIDS-2017 (Cross),Multiclass,0.6873,0.7109
60,Logistic Regression,24.35,CICIDS-2017 (Cross),Binary,0.6885,0.7076
60,Logistic Regression,24.35,LycoS-2018 (Cross),Multiclass,0.0424,0.0529
60,Logistic Regression,24.35,LycoS-2018 (Cross),Binary,0.4941,0.6544
60,Random Forest,12.04,CICIDS-2018 (Within),Multiclass,0.9511,0.9514
60,Random Forest,12.04,CICIDS-2018 (Within),Binary,0.9802,0.9892
60,Random Forest,12.04,CICIDS-2017 (Cross),Multiclass,0.4322,0.3954
60,Random Forest,12.04,CICIDS-2017 (Cross),Binary,0.5703,0.6288
60,Random Forest,12.04,LycoS-2018 (Cross),Multiclass,0.6944,0.7505
60,Random Forest,12.04,LycoS-2018 (Cross),Binary,0.7041,0.7643
60,Extra Trees,4.34,CICIDS-2018 (Within),Multiclass,0.935,0.9349
60,Extra Trees,4.34,CICIDS-2018 (Within),Binary,0.9729,0.9853
60,Extra Trees,4.34,CICIDS-2017 (Cross),Multiclass,0.6576,0.6448
60,Extra Trees,4.34,CICIDS-2017 (Cross),Binary,0.7574,0.7417
60,Extra Trees,4.34,LycoS-2018 (Cross),Multiclass,0.6214,0.663
60,Extra Trees,4.34,LycoS-2018 (Cross),Binary,0.6351,0.7244
60,XGBoost,10.97,CICIDS-2018 (Within),Multiclass,0.9519,0.9521
60,XGBoost,10.97,CICIDS-2018 (Within),Binary,0.9806,0.9894
60,XGBoost,10.97,CICIDS-2017 (Cross),Multiclass,0.3227,0.2567
60,XGBoost,10.97,CICIDS-2017 (Cross),Binary,0.5039,0.6215
60,XGBoost,10.97,LycoS-2018 (Cross),Multiclass,0.365,0.4404
60,XGBoost,10.97,LycoS-2018 (Cross),Binary,0.4848,0.5709
60,LightGBM,11.11,CICIDS-2018 (Within),Multiclass,0.9533,0.9536
60,LightGBM,11.11,CICIDS-2018 (Within),Binary,0.9818,0.9901
60,LightGBM,11.11,CICIDS-2017 (Cross),Multiclass,0.2832,0.1903
60,LightGBM,11.11,CICIDS-2017 (Cross),Binary,0.4512,0.5895
60,LightGBM,11.11,LycoS-2018 (Cross),Multiclass,0.5918,0.6584
60,LightGBM,11.11,LycoS-2018 (Cross),Binary,0.6388,0.7266
60,MLP (PyTorch),31.14,CICIDS-2018 (Within),Multiclass,0.9453,0.9456
60,MLP (PyTorch),31.14,CICIDS-2018 (Within),Binary,0.9747,0.9862
60,MLP (PyTorch),31.14,CICIDS-2017 (Cross),Multiclass,0.706,0.6705
60,MLP (PyTorch),31.14,CICIDS-2017 (Cross),Binary,0.817,0.7875
60,MLP (PyTorch),31.14,LycoS-2018 (Cross),Multiclass,0.2758,0.3239
60,MLP (PyTorch),31.14,LycoS-2018 (Cross),Binary,0.7045,0.7645
70,Logistic Regression,25.23,CICIDS-2018 (Within),Multiclass,0.929,0.9278
70,Logistic Regression,25.23,CICIDS-2018 (Within),Binary,0.9632,0.9801
70,Logistic Regression,25.23,CICIDS-2017 (Cross),Multiclass,0.6013,0.5891
70,Logistic Regression,25.23,CICIDS-2017 (Cross),Binary,0.6025,0.6716
70,Logistic Regression,25.23,LycoS-2018 (Cross),Multiclass,0.2852,0.2538
70,Logistic Regression,25.23,LycoS-2018 (Cross),Binary,0.3101,0.1026
70,Random Forest,13.04,CICIDS-2018 (Within),Multiclass,0.951,0.9513
70,Random Forest,13.04,CICIDS-2018 (Within),Binary,0.9801,0.9891
70,Random Forest,13.04,CICIDS-2017 (Cross),Multiclass,0.4498,0.418
70,Random Forest,13.04,CICIDS-2017 (Cross),Binary,0.6026,0.6559
70,Random Forest,13.04,LycoS-2018 (Cross),Multiclass,0.7247,0.7804
70,Random Forest,13.04,LycoS-2018 (Cross),Binary,0.735,0.7836
70,Extra Trees,4.9,CICIDS-2018 (Within),Multiclass,0.8927,0.8906
70,Extra Trees,4.9,CICIDS-2018 (Within),Binary,0.9731,0.9854
70,Extra Trees,4.9,CICIDS-2017 (Cross),Multiclass,0.6822,0.6896
70,Extra Trees,4.9,CICIDS-2017 (Cross),Binary,0.7775,0.7723
70,Extra Trees,4.9,LycoS-2018 (Cross),Multiclass,0.628,0.6917
70,Extra Trees,4.9,LycoS-2018 (Cross),Binary,0.6796,0.7494
70,XGBoost,12.49,CICIDS-2018 (Within),Multiclass,0.952,0.9522
70,XGBoost,12.49,CICIDS-2018 (Within),Binary,0.9807,0.9895
70,XGBoost,12.49,CICIDS-2017 (Cross),Multiclass,0.3215,0.255
70,XGBoost,12.49,CICIDS-2017 (Cross),Binary,0.5028,0.6209
70,XGBoost,12.49,LycoS-2018 (Cross),Multiclass,0.3365,0.42
70,XGBoost,12.49,LycoS-2018 (Cross),Binary,0.5368,0.6267
70,LightGBM,14.72,CICIDS-2018 (Within),Multiclass,0.9533,0.9536
70,LightGBM,14.72,CICIDS-2018 (Within),Binary,0.9818,0.9901
70,LightGBM,14.72,CICIDS-2017 (Cross),Multiclass,0.2832,0.1903
70,LightGBM,14.72,CICIDS-2017 (Cross),Binary,0.4512,0.5895
70,LightGBM,14.72,LycoS-2018 (Cross),Multiclass,0.5813,0.6451
70,LightGBM,14.72,LycoS-2018 (Cross),Binary,0.6277,0.7205
